year,gender,n_players,fr_arrival,fr_arrival_sd,sr_finish,sr_finish_sd,fr_cross_rate,fr_top9_share,dev_mean,dev_sd,first_time_champs,poy_underclass,poy_total
2027,boys,17896,0.4941077299660398,0.11026306341340876,0.75078789862119,0.039036899894297476,0.013980263157894737,0.10187211281303185,,,9,,
2027,girls,18567,0.5074047437082282,0.11789660559541419,0.753877388696459,0.04150500640772721,0.01605639318582338,0.1171611401977894,,,9,,
2028,boys,17911,0.4972027773491823,0.11310607725358822,0.7508230491984841,0.03889210560948674,0.014233428222854819,0.1061269146608315,5.2418225198183634,2.4192682246104753,9,,
2028,girls,18555,0.5110030282124267,0.12114867321155336,0.753138132772409,0.0404624581781967,0.015042117930204572,0.10622454915648633,4.782618310482087,2.4228922804419244,9,,
2029,boys,17976,0.49215975721404537,0.1075543507458966,0.7517252613951261,0.03993914227892312,0.013695829926410465,0.10320933625091175,5.268725160501376,2.44191405096907,8,,
2029,girls,18496,0.5087365468681253,0.11876692299918627,0.7524826937964445,0.040707314636518444,0.014420188263568997,0.11076207097149506,4.787750870176998,2.4618799115615695,8,,
2030,boys,17935,0.493748545575208,0.10957602123319535,0.7506994408955293,0.03947466390979828,0.014320785597381341,0.10576221735959154,5.2589867402468,2.430420310107323,7,,
2030,girls,18485,0.510564335944635,0.12019651090923522,0.7533782533474122,0.04071571719136781,0.01582849128431176,0.10773705642815591,4.789313769082555,2.4690468426225336,8,,
2031,boys,17923,0.49360423788290436,0.10716016897848496,0.7512191924437511,0.039547629489910884,0.013308380120607194,0.0974957451981522,5.239737524797802,2.417709356658429,7,,
2031,girls,18473,0.5083751827723414,0.1194578549540224,0.7541564859948641,0.04162392015973769,0.014455948427427232,0.11809191390343222,4.745225791956863,2.468421971209859,7,,
2032,boys,17829,0.49812174528984177,0.1144583899812132,0.7505180867214397,0.038908739171713044,0.014650481372959398,0.09603695599319231,5.229407708221593,2.4000860921393703,8,,
2032,girls,18510,0.5049627002714813,0.11590416313647889,0.7530827970172123,0.04089264868556826,0.011341026661360923,0.11076207097149506,4.759293611337835,2.449567720921322,8,,
2033,boys,17761,0.49445933005006143,0.11128952699877485,0.7511269270567261,0.03969792516576848,0.012890955198647506,0.10065645514223195,5.2106838590835824,2.4190425881480246,6,,
2033,girls,18578,0.5080904436268284,0.1189473212086604,0.7540420519299219,0.041752680744975956,0.01582591493570722,0.10843513670738801,4.800931745914368,2.4365058066290346,6,,
2034,boys,17669,0.6024512297018568,0.12521042213785877,0.750601557161698,0.038292708643204554,0.07138318152933701,0.22319474835886213,5.215245597775718,2.428672157600535,6,,
2034,girls,18725,0.6120842273582636,0.12607781192682505,0.7531120347446014,0.040927909169273725,0.06854199683042789,0.2181500872600349,4.814432989690721,2.436936273139805,5,,
2035,boys,17834,0.6040591166888654,0.12411097055491596,0.7520897783529306,0.040274887517944995,0.07144298688193744,0.18453683442742524,5.446947335715396,3.077077587667582,8,,
2035,girls,18698,0.6141067827296881,0.1250500181254401,0.7525920471996965,0.040313207395852355,0.06887653830885272,0.18057009889470624,5.042423798358734,2.9746441734651623,6,,
2036,boys,17783,0.6044058954024704,0.12446282729191165,0.7517089555827501,0.04066041221914845,0.07476249483684427,0.15949428640894725,5.251953880677862,3.1727535758390575,9,,
2036,girls,18714,0.6112400835758073,0.12538780409186404,0.7534075265613503,0.040390380956010094,0.059835745013687915,0.16265270506108204,4.817171865803414,3.016248328518537,6,,
2037,boys,17934,0.6061898558716095,0.12429924357822222,0.8706671684301684,0.056058297074762516,0.030103668261562997,0.13980063214198882,5.288813139138519,3.655434597016566,6,,
2037,girls,18637,0.6123361556183092,0.1267997199411788,0.8727397386579006,0.05675333301273614,0.027301092043681748,0.14264107038976148,4.847721378288255,3.4827481178224478,9,,
2038,boys,18051,0.6093829537600416,0.12557182548006374,0.8695755839160305,0.05720012314433687,0.020770920711004594,0.14551422319474835,5.292924637013137,3.704039789163198,6,,
2038,girls,18705,0.6131691390415317,0.12534838395143935,0.8718963091754728,0.056158767562587655,0.026731927710843373,0.14613147178592203,4.848480311423866,3.5000836743823625,4,,
2039,boys,17909,0.6076039383784321,0.1251445114830071,0.8706773517780501,0.05669134830080316,0.029647435897435896,0.14843180160466812,5.288782076129933,3.6512779816136525,5,,
2039,girls,18703,0.6121236632978211,0.12559962857786247,0.8704835063262732,0.057284731328981535,0.034710431993963405,0.15031995346131471,4.907093205770237,3.520853032051587,3,,
2040,boys,19801,0.6077074204917609,0.12417897818178161,0.8708771010653362,0.05640954713379615,0.027440331570673146,0.17043520544614638,5.212197422194278,3.595259844296334,3,,
2040,girls,20730,0.6147146023468877,0.1246683777718602,0.8716107370465174,0.05703230278670298,0.026121902210314803,0.17777777777777778,4.892792109256449,3.472343749049251,3,,
2041,boys,19173,0.6078096182207426,0.12625599552497316,0.8712751322562533,0.057599677048275164,0.023449795404469627,0.17067833698030635,5.22117941498514,3.634141516557495,7,,
2041,girls,20120,0.6142436653022245,0.12746738331680277,0.8728993442449521,0.056313846960384155,0.03174132304954019,0.1760325770796975,4.835280898876404,3.465731464498825,4,,
2042,boys,18329,0.6042184152238086,0.12487152599539589,0.8716116376603957,0.05711833317067317,0.0266812865497076,0.16022368101142717,5.212711270348158,3.5799817890368653,2,,
2042,girls,19224,0.6095132865745538,0.12736586310818468,0.8709143025324437,0.05553342130925965,0.02641310089804543,0.15555555555555556,4.849204587495375,3.4687407952096785,5,,
2043,boys,15470,0.6022590084402049,0.1243126803867843,0.8714217952441344,0.0570352104499625,0.023843586075345733,0.14009047215154086,5.347161368509369,4.080950832396318,3,0,9
2043,girls,17033,0.6097986838102043,0.12588879678500078,0.8729422508395465,0.05641538464920295,0.03356890459363958,0.14107510288065844,4.94727057630556,3.9729001811290665,4,0,9
2044,boys,17730,0.6043612126219957,0.1250550491233925,0.8717998436354467,0.056998971625931434,0.027157894736842107,0.14308290785314856,5.406422103985812,4.1056299116984345,1,,
2044,girls,18703,0.6137433889910648,0.12668104870645275,0.8713005227988772,0.05747817311068487,0.032850997262416894,0.14671320535194882,5.058064516129032,4.110963889126885,6,,
2045,boys,17138,0.6013339244527246,0.12301387341890394,0.8702782110276733,0.05739350568886392,0.025996533795493933,0.14420536051340127,5.177685950413223,4.187858534858171,1,2,11
2045,girls,18526,0.6119717615334174,0.1271479421485481,0.8716669224335203,0.057298762690233325,0.03629690048939641,0.148380355276907,4.702364066193853,4.061862343269032,6,0,11
2046,boys,17127,0.6077370320340186,0.12401624734343639,0.8707380656016757,0.057054978126630365,0.027259068469628677,0.1468478671196678,5.299967917869747,3.6746070000316164,3,0,11
2046,girls,18616,0.6137013790377462,0.12775619543953998,0.8721559576699016,0.057348219857611966,0.03009441384736428,0.14675490537559502,4.823825007389891,3.4279674150150665,1,3,11
2047,boys,16988,0.603408652969917,0.12623306798334322,0.870481121524042,0.05752177314233379,0.033600693691740735,0.1492387064300994,5.278006589785832,4.1165548342535425,6,0,12
2047,girls,18610,0.6128610013363972,0.12521732638801372,0.8710890977172281,0.057043258014720634,0.030452837650781096,0.15105073725763382,4.9648754127889525,4.007100813161266,5,1,11
2048,boys,17058,0.604949707532098,0.12451661738115047,0.869971391682885,0.05665141539560974,0.037037037037037035,0.15779539448848623,5.222168245486196,3.558142966873818,3,1,12
2048,girls,18685,0.6112978107412058,0.12541130725305674,0.872087088692117,0.057189064085888114,0.033723467565959134,0.1676535469638918,4.863798749627866,3.452725340057846,2,0,12
2049,girls,18628,0.6106527316490318,0.12559689292556475,0.8719303673491879,0.05776831335849383,0.03819649537310494,0.1552065154159395,4.93095968284838,3.631187740431282,2,4,12
2050,boys,17537,0.6049516969123199,0.1251556333747826,0.8696385042432857,0.05766134390392681,0.03094059405940594,0.1494971792985038,,,6,1,12
2050,girls,18723,0.6131876743220156,0.12528393476351213,0.8703700474895644,0.056823112702885516,0.029712521705575923,0.15302449785208405,4.864438185591462,3.5925675309837715,5,3,11
2051,boys,17572,0.6052414561082443,0.1243664682789414,0.870866521764612,0.05751983958089169,0.027293722443837917,0.1483934265391219,5.312592824200735,3.6580456101480814,7,0,12
2051,girls,18736,0.6151100261594201,0.12589714677446354,0.8712355485099763,0.05699783876170232,0.026112759643916916,0.15128294438639267,4.897683963647024,3.4633310394735,3,0,12
2052,boys,18682,0.6047299612876806,0.12438904650480488,0.8707330774292461,0.05662730314261326,0.024721448467966575,0.13846340870410892,5.350826044703596,3.743974984687919,4,1,12
2052,girls,19672,0.6101392030989649,0.12512549047651178,0.8701688975024751,0.05651447134235775,0.02698201199200533,0.14194299011052938,4.894283536585366,3.5476543614601876,3,1,12
2053,boys,18335,0.6034708052514758,0.12423424674632018,0.8707156365203401,0.05741299581507378,0.01822238750464857,0.1401653294432288,5.2891902363425025,3.662799174742715,6,1,12
2053,girls,19353,0.612058296783678,0.1250464300410621,0.8700058528245308,0.05738649220018145,0.025443468912381292,0.14508435136707387,4.86988549339946,3.5311824075729668,6,0,12
2054,boys,17868,0.6040609824100375,0.12440066501751723,0.7499996675552153,0.04157612792315682,0.039614121510673235,0.19547775346462437,-1.8382776609826366,5.817603865158351,5,6,12
2054,girls,18838,0.613369464157941,0.12632090895221354,0.7526328875782992,0.042362882219560055,0.027953283553513307,0.17614892379290284,-1.7437790740604002,5.546677292594641,9,2,12
2055,boys,17801,0.6058220732633969,0.12522339084310466,0.7516065236483512,0.04296213927758908,0.04514030093533957,0.17165086311694627,5.341408494448327,2.9473447584360435,5,0,12
2055,girls,18655,0.6171205174295943,0.12608131651265303,0.7530316013780356,0.04230051215386954,0.03320961125219769,0.16591041303083187,4.855865839243499,2.7677510352045025,3,1,12
2056,boys,17933,0.6031132134918453,0.12480982755327472,0.7503146594372267,0.04150030658053961,0.03540879252038989,0.13712618526622902,5.031787874089006,3.01318968232765,6,5,12
2056,girls,18670,0.6152239476854803,0.12722945004976113,0.7522526347944877,0.04205753191060858,0.027514047665181167,0.1290285049447353,4.558322217281755,2.793967548566467,4,6,12
